evt_date,Curve,Bridge,Aave,Compound,Treasury,Other,Uniswap,Balancer,Sushiswap,Bancor,Yearn,dydx
2022-07-08 00:00,250392368.46525124,332108575.51863664,223208282.22347707,368392192.6523571,35910972.51163068,278915972.73687774,810178632.2355177,20520644.894181732,45989506.12096557,6216260.952099447,709344.9254162585,4017384.8735680836
2022-07-09 00:00,258915217.32041326,332946645.0222745,224855920.61357844,365986497.36161256,36070834.51163068,278915972.73687774,831493794.12927,20866378.186027117,46114577.04556684,6210891.390413588,709344.9254162585,4017384.8735680836
2022-07-10 00:00,252174204.540758,332612991.3082816,223513395.03429487,365545102.3130288,36070834.51163068,278915972.73687774,740160576.2400703,20536896.232093282,45877131.70575496,6114769.636678529,704516.8198837198,4014984.6864325725
2022-07-11 00:00,240892848.14366546,331463857.07522875,222291673.08014843,400376728.94472617,36070834.51163068,278915972.73687774,723313385.5250721,20660915.25233872,45638483.79318496,5987206.558708632,704102.1933563303,4013896.307829987
2022-07-12 00:00,236229456.0432279,330591889.94300413,224673272.2537387,449484429.70215803,36223699.51163068,278915972.73687774,725727690.1474472,20776383.943625327,45531053.79513702,5492895.276966444,704102.1933563303,4013854.451499896
2022-07-13 00:00,224808665.60019097,330431870.8539352,224975531.91053802,504144709.17300904,36155299.95734654,278915972.73687774,729119693.2761337,19160155.89216037,46350223.75668449,5545840.7198857935,704102.1933563303,4012854.864926134
2022-07-14 00:00,239072331.0587442,333674244.5473752,225488398.0366285,503450451.8895432,36310674.95734654,278915972.73687774,729122896.6772155,21877311.959249098,46633185.44261805,5614741.703984812,704102.1933563303,4012854.864926134
2022-07-15 00:00,265751842.65880442,332447334.0870353,226762849.87963793,511691369.43221164,36411214.95734654,278915972.73687774,760119640.2148864,23486766.03502659,47016354.91354168,5617661.899036909,699917.9555309211,4012189.927985568
2022-07-16 00:00,284451768.6030248,332263731.0665706,224041285.56392896,511819335.2324168,36411214.95734654,278915972.73687774,786214232.3471417,24557437.96881456,47729836.18829889,5622709.926581835,699917.9555309211,3989882.7768096365
2022-07-17 00:00,297831139.5641077,327740365.41225326,233281199.39357492,512970629.87345076,36411214.95734654,278915972.73687774,893572197.9928077,25375692.576738827,47613110.37135311,5606541.09505039,699137.7117203115,3988813.7567205764
2022-07-18 00:00,315321108.09983075,327608934.28166264,223770010.32301593,501634959.34660804,36456214.95734654,278915972.73687774,954156549.5523913,25753699.12237749,48440316.00227962,5774479.581505179,697799.9179633388,3988189.7798747793
2022-07-19 00:00,346095116.95265925,328017783.1774143,234429138.5573116,499262521.9224003,36551871.95734654,278915972.73687774,949344258.765747,25752366.740278307,48260703.417067476,5823244.63851278,692856.8659009556,3987976.5742796455
2022-07-20 00:00,370489423.8584306,328611101.1441979,236657386.11325404,501848427.586077,36605834.95734654,278915972.73687774,928787751.3238437,22244988.902318142,47994200.56803542,5714080.115521328,692731.9615883661,3987805.501432163
2022-07-21 00:00,359209896.77556694,328187877.9519806,236665172.2236733,503640511.2107624,36605834.95734654,278915972.73687774,920887127.6627196,22283260.05651808,48183035.90421166,4915656.259259652,692731.9615883661,3986929.6442651656
2022-07-22 00:00,378346287.3268356,327640360.85583633,227669361.64677107,503941565.4327409,42577938.95734654,278915972.73687774,979630148.8257717,22648274.37177905,47825253.48857793,4851360.744150541,692731.9615883661,3986767.643783543
2022-07-23 00:00,387520081.6726962,321301332.3985553,228026449.91007754,505742755.3453918,42577938.95759654,278915972.73687774,1014854144.8093296,22996638.910456967,47955568.79334189,4858175.030408463,692731.9615883661,3986767.643783543
2022-07-24 00:00,390562144.1348314,320841672.9964134,228025371.16925424,507661596.6951008,42662855.95759655,278915972.73687774,1010604401.5363177,22655906.77267707,48286365.68489001,4962098.690896868,692731.9615883661,3986463.6549593126
2022-07-25 00:00,395899772.5298788,332666966.1422001,225167720.81810063,504586159.8978019,42662855.95759655,278915972.73687774,1012275743.9309783,22584343.033828244,47438313.97945291,4646068.177077545,692689.38530621,3985381.483228651
2022-07-26 00:00,385915650.0341146,348139556.3886212,224035475.3297169,514474318.5972437,42431134.821287625,278915972.73687774,1050867509.6214079,22918050.296972398,47315748.33916169,4573625.277606386,692689.38530621,3985381.483228651
2022-07-27 00:00,384202926.62216395,347567964.73712623,223617219.4392595,513897943.5983384,42426134.821287625,278915972.73687774,1052733034.4661298,23279948.10833212,48157324.052939616,4680731.234477518,692689.38530621,3984997.783777006
2022-07-28 00:00,374925772.8169772,348778136.5667328,221037446.87346098,513781362.61126786,42586134.821287625,278915972.73687774,1064515145.7881899,22953889.35291886,47898976.358041026,4833773.855345062,691789.2652704766,3984867.8594561205
2022-07-29 00:00,396644174.40564984,349385056.50057864,221814956.6006304,517283651.1359842,42803165.821287625,278915972.73687774,1064067424.2670363,24078721.11688518,47620009.1953754,4895138.352671859,691789.2652704766,3980028.071035722
2022-07-30 00:00,402740691.3797129,350531520.6430239,225015277.77647272,515149515.2621758,42803165.821287625,278915972.73687774,1057248936.4608529,24297138.05608877,47475949.33756823,4927730.381848981,690795.7267716483,3979175.454887911
2022-07-31 00:00,407312482.4256418,350582433.91043365,226006386.7524736,527840085.83037513,43213807.82128762,278915972.73687774,1053605855.8310326,24559965.461427413,47530556.87561688,4919257.769860834,690523.6128314218,3978969.88718945
2022-08-01 00:00,376217196.01962274,340769203.3093525,226007106.80022633,524952111.14316756,43208807.821287625,278915972.73687774,1046604168.7014663,24150952.748840652,47158116.89297301,4827712.316851136,690523.6128314218,3978608.8842199934
2022-08-02 00:00,385287615.9370103,341035564.03037655,227072272.99267587,525119896.83886147,43010746.8780714,278915974.73687774,970267000.7348254,23429328.53417342,47020388.07189868,4805983.592360131,690523.6128314218,3978603.5391848367
2022-08-03 00:00,396618681.32443833,328093698.2556091,226948531.19507194,525839109.8216333,43010746.8780714,278915974.73687774,975951605.9160161,24318061.031978734,46757200.98277724,4819676.546804393,690488.4664393493,3974409.676862846
2022-08-04 00:00,415142420.57105356,331364542.6560236,225763366.8263034,522191479.29808456,43010746.8780714,278915974.73687774,996327373.0390105,24703614.273561213,42909516.53321294,4806829.2793251015,690488.4664393493,3974399.7312167995
2022-08-05 00:00,402998564.03477436,330488535.32581043,233444714.4387049,520965044.063864,43010747.05307141,278915974.73687774,1055959109.9233316,24048196.458556972,43088261.689605996,4923452.615625872,690488.4664393493,3974297.5022008605
2022-08-06 00:00,406214136.25298077,324914321.20102084,233512283.34060633,519869488.53242964,43010747.05307141,278915974.73687774,1064564802.6678867,27339905.460168116,43135895.04027205,4933959.779006138,690488.4664393493,3974297.5022008605
2022-08-07 00:00,406466814.15861225,323883443.1432072,232352750.8784871,520534143.3046201,43010747.05307141,278915974.73687774,1063594107.2393029,26107232.26562993,43178700.66234744,4988956.742736213,690453.5974154804,3974284.3869749596
2022-08-08 00:00,391211724.2804011,323995064.71246195,230099707.64880714,528409091.1372429,43000747.0530714,278915974.73687774,1024822830.2989249,28364123.683812514,43308533.877871975,5100166.865249785,685318.0973079444,3974284.3869749596
2022-08-09 00:00,400174870.1628968,324907290.4670998,228297565.16569138,530525946.08292013,43000747.91640474,278915974.73687774,1019242815.4360025,29034690.97214913,42882798.08057164,5001266.543919633,685318.0973079444,3974284.3869749596
2022-08-10 00:00,414690350.48084223,324100362.7354298,216064433.3918061,523198979.0530858,43090733.91640474,278915974.73687774,1061175159.2126714,30112449.010654747,43443720.50906008,5075275.3947324045,685039.2613879284,3974284.3869749596
2022-08-11 00:00,433993919.8169092,325079978.0395177,169901868.49293804,525024518.1848324,43140733.91640473,278915974.73687774,1041283463.0328245,27970244.03816153,43201646.59806722,5027871.324776417,685011.7183578548,1620985.253261911
2022-08-12 00:00,422936503.1729247,328645171.6134665,182461975.8189899,529416286.30642813,43140733.91640473,278915974.73687774,966361600.2578436,29199097.699505474,43195535.04478839,4860682.356940699,685011.7183578548,1620985.253261911
2022-08-13 00:00,418978535.14039594,328080521.1641757,177272985.31513155,528738331.90788394,43140733.91640473,278915974.73687774,986843272.4424934,29602286.79001697,42764521.122554444,4879721.5032479325,685011.7183578548,1620985.253261911
2022-08-14 00:00,414659995.588163,326743343.2991618,175616754.22809565,528573786.0547299,43140733.91640473,278915974.73687774,946233308.4408892,29680926.9209855,42939949.81349193,4812125.899335316,685011.7183578548,1620985.253261911
2022-08-15 00:00,432827903.3165443,329739603.4826663,174951305.48077556,530907816.1617508,43106754.664106615,278915974.73687774,945457523.9551165,29690422.827669304,42879118.79576675,4771937.636287572,648364.3372571504,1620985.253261911
2022-08-16 00:00,401578440.462952,329238729.34750783,180024132.09395424,531060359.22460794,42779577.77874387,278915974.73687774,941443031.2050954,27353919.002514645,42910130.2107323,4744127.976872281,648364.3372571504,1620862.3833843323
2022-08-17 00:00,387823037.0942385,328171018.9393236,177602083.13210484,531880064.68710506,42552780.0033721,278915974.73687774,938507962.0027604,26301920.274970118,42868582.92487527,4629669.748915209,648364.3372571504,1620862.3833843323
2022-08-18 00:00,387941074.835978,328461726.8336582,177204075.80192262,531468591.8312975,42519879.6048188,278915974.73687774,895027049.8304361,28735343.649046075,39723647.6887785,4597533.986408102,647340.3324793113,1620862.3833843323
2022-08-19 00:00,364439583.49489695,329030656.22726357,177897954.36230013,529666879.5646023,42617851.20037654,278915974.73687774,875899176.1203736,28293188.762583807,39096827.26603626,4340122.53705411,647340.3324793113,1620862.3833843323
2022-08-20 00:00,338076665.66768724,329258018.2562518,179052405.49425304,531576985.6547838,42592865.36015485,278915974.73687774,849591513.307758,26129102.61359006,39073793.41312457,4304193.165278691,647340.3324793113,1620862.3833843323
2022-08-21 00:00,324426812.0751919,329248813.17515343,178926156.69250605,531345519.1465587,42592865.36015485,278915974.73687774,835064928.5817192,25982876.27900541,39251325.241194576,4378069.49543098,647340.3324793113,1620862.3833843323
2022-08-22 00:00,327356830.5782514,329407840.10832524,177786811.31322724,531266101.4835749,42540849.33648678,278915974.73687774,814506561.007901,23458297.643514354,39256526.03430779,4362159.326994574,647340.3324793113,1620862.3833843323
