evt_date,Curve,Bridge,Aave,Compound,Treasury,Other,Uniswap,Balancer,Sushiswap,Bancor,Yearn
2022-09-11 00:00,337272124.320247,3676712481.950796,1302987261.097488,686879889.37162,365721354.230625,193489958.398189,6202013463.410575,31524396.292008,25191605.22506,663649.878654,
2022-09-12 00:00,323186346.41461,3670201228.764845,1347399382.939878,639443008.339804,365721354.230625,191145077.768306,6163445916.111578,30915513.47415,24690082.462441,658492.434779,
2022-09-13 00:00,304992378.141093,3644823150.581365,1436692984.109404,604108925.915308,365721354.230625,186139407.956358,6103738057.257298,28144023.253159,23679394.474396,637077.566701,
2022-09-14 00:00,266448294.299115,3694878787.057634,1485369307.628248,687135320.938166,365656354.230625,184329694.775774,6098776149.609909,21935176.850619,15452169.165162,654280.825453,
2022-09-15 00:00,280088659.758014,3657965555.044746,1075784460.907268,542416265.337477,366156257.606338,183328331.465092,6074260328.62774,20651149.961792,19734210.018652,637478.030367,
2022-09-16 00:00,288595445.315959,3651673741.805958,1019972831.074563,571964507.305976,366156257.606338,184226638.146862,6070440868.639204,26496232.110491,23187640.153829,572641.676065,
2022-09-17 00:00,287976059.138149,3644897483.399744,1010281199.545292,642166684.463233,366156257.606338,184868520.065044,6077086953.062296,24920730.004051,23510958.254141,575931.230484,
2022-09-18 00:00,291448869.116327,3656261763.293864,1013004409.421111,563706070.606007,366156257.606338,190879321.401481,6065738433.86195,23586806.033737,22516883.18725,557985.976989,
2022-09-19 00:00,288560967.997894,3655223144.059803,965123018.909742,580354938.763533,366156257.606338,189926995.830206,6112882472.273331,24775058.246269,23422403.349994,556161.140494,
2022-09-20 00:00,330321190.027567,3652667353.592553,949821090.180496,589074280.828471,395907008.606338,192305106.225652,6101402261.503196,23064836.441282,23649340.701739,549598.055706,
2022-09-21 00:00,325991792.590949,3640048234.990336,949114032.633474,622940218.023326,395907008.606338,188206189.698578,6058256845.894113,23778641.756919,22980893.454714,539425.170004,
2022-09-22 00:00,323513284.74201,3465166781.002118,944456689.523753,613818559.882364,390857008.606338,185525144.298865,6108347051.736495,22081293.452334,27178063.031549,552314.833813,
2022-09-23 00:00,315987509.812216,3254090795.048379,992028929.384543,624258405.730674,343690341.606338,189703174.933589,6112860776.430913,22186836.617755,26328029.919017,552763.023916,
2022-09-24 00:00,317493762.91509,3260956849.598909,994452691.45612,628363179.888053,343690341.606338,190000749.404828,6105045879.888372,24386734.336233,26218031.264639,554614.416002,
2022-09-25 00:00,317617911.262549,3256768480.912283,987815306.25882,600241197.465106,343690341.606338,190408360.960254,6103039457.247261,25930849.040641,25989154.513492,551759.591025,
2022-09-26 00:00,311455688.921037,3252407678.591122,858898815.819581,620603189.727538,345353023.106618,187594168.430918,6130484970.76085,19486326.056155,26413912.65408,547793.555037,
2022-09-27 00:00,308405800.923417,3239974673.120948,849669691.81261,626177552.09674,347044753.098421,187664836.659615,6126966863.159531,21558901.56302,26395385.416644,552464.481061,
2022-09-28 00:00,308220649.473913,3256431566.601137,854993919.162836,623372512.772669,338029471.890457,181728240.449702,6119118589.853749,20550863.284161,26547899.689592,552790.119169,
2022-09-29 00:00,310563785.388094,3260050327.697035,842180218.613836,621241261.345336,338029471.890457,181108212.179461,6117558069.712303,21683897.783684,26594366.282245,548940.1331,
2022-09-30 00:00,320652508.61445,3275907647.372711,793315674.092327,630702996.993308,332029471.890457,181387756.520519,6116728156.344837,29399210.979038,26470465.385565,542606.308566,
2022-10-01 00:00,329543361.124958,3278218653.730943,795776925.565551,635350486.220166,332029471.890457,181605374.595281,6094460514.967098,23877249.469461,26306813.16531,540744.42675,
2022-10-02 00:00,323738124.019502,3280386994.199057,805758805.660811,623316818.004605,332029471.890457,181862889.827326,6084230308.196448,25827373.993301,25688966.932167,541365.131565,
2022-10-03 00:00,324243370.888177,3288362462.108346,731178841.824034,630477727.679806,331129471.890457,182372637.793455,6132861362.318911,28981892.820272,26152268.271618,541916.736604,
2022-10-04 00:00,338885530.412573,3277025084.686885,727833044.470396,625219229.204865,331129471.890457,196952969.119829,6172163152.375893,28428974.385565,26381856.421605,549607.989405,
2022-10-05 00:00,340629661.712912,3275351694.50945,748536232.115918,635666111.70464,325609471.890457,191599006.915387,6141828050.521288,28159817.745419,25600631.963534,550782.422455,
