evt_date,compound,other,uniswap,aave,bridge,curve,bancor,treasury,balancer,sushiswap,dydx,yearn,total
2022-12-02 00:00,250466820.47704825,597240803.0398179,1716901763.2851758,79877312.20581177,391869109.8138844,260641385.99014264,4644675.541540086,27846927.83124511,39664991.82500739,49868920.14795223,1619777.7873012784,1367707.794192008,3422010195.739119
2022-12-03 00:00,252145427.6283932,597297719.6350671,1714182225.880757,78727274.12319691,392905840.93376124,257063180.18310824,4618661.889042611,27846927.83124511,40407789.71941942,49801746.71467594,1619777.7873012784,1387609.3951770626,3418004181.721145
2022-12-04 00:00,252584596.65600717,596309018.6303967,1715921426.9792542,79266335.03142525,393134661.99093974,256295861.83621654,4633429.3080221545,27917996.83124511,41173958.56412985,49785092.36232633,1619777.7873012784,1387609.3951770626,3420029765.3724413
2022-12-05 00:00,251703107.90276116,596105076.4888171,1715849251.7227523,79850591.54094851,393531572.30019075,257656603.55380782,4636357.511018706,28437255.62370889,40319921.58939317,49763711.88378148,1619777.7873012784,1387609.3951770626,3420860837.2996583
2022-12-06 00:00,257772305.0677572,595974711.4695637,1694904061.624544,80809321.10960707,392520368.19024575,250911052.20535925,4614625.601078669,28392596.359452277,40372249.39552722,49788005.86563027,1619777.7873012784,1389608.430830992,3399068683.1068974
2022-12-07 00:00,256997720.7545867,595538615.0752021,1697333015.4972403,81583632.48540036,392965454.5470837,223995431.5953539,4563875.425553874,28011681.571182344,39752282.87318296,49749320.7460826,1619777.7696638035,1389608.430830992,3373500416.7713637
2022-12-08 00:00,247965843.50261813,584601603.1666758,1710612250.498541,87773061.76332366,393937418.4485271,240353490.38796583,4617859.621827717,27947904.275356706,41711647.18569928,49826362.98964595,1618513.372300855,1389608.430830992,3392355563.6433134
2022-12-09 00:00,250355927.3686175,583601603.1666758,1708388403.6336684,86338648.44861318,391958617.5400749,241389258.05765542,4595345.737261108,27957704.275356706,38776922.376605,49815899.668481104,1618513.372300855,1389608.430830992,3386186452.076141
2022-12-10 00:00,251290624.22400606,583603483.6190102,1709980560.3796437,85396357.31528991,391433795.3026581,241960681.20790657,4607457.897382036,27850695.745262966,39322520.97574452,49834930.014599994,1618480.1447382453,1389608.430830992,3388289195.257073
2022-12-11 00:00,251303609.50444317,583904464.0990101,1711588439.3840663,84229363.03902236,388879122.3709603,254868199.36192092,4615238.963781295,27837149.255960703,40204750.19264583,49843249.889659636,1618480.1447382453,1389608.430830992,3400281674.63704
2022-12-12 00:00,247639264.23804772,583419914.4768597,1715228225.178139,82716007.47725229,390262044.8957759,250329332.90173495,4570927.535803783,29200944.237704348,39330329.78481453,49930837.94518531,1618442.988444161,1389608.430830992,3395635880.0905924
2022-12-13 00:00,247216734.26315182,583047181.6804276,1717669181.903356,91122183.96596095,389193888.101484,237298740.71243063,4604200.737573332,28467669.138800684,37622921.45591964,50009437.58853686,1618442.988444161,1371825.3491385775,3389242407.8852243
2022-12-14 00:00,251243760.20828542,583493861.4331175,1721694281.698555,89776571.2271579,387515050.9912289,239080982.0016854,4608885.390748799,27897228.267759036,37398296.66468396,50005767.86196089,1618416.173139848,1372631.6112077327,3395705733.5295305
2022-12-15 00:00,251289139.62340277,582886858.0330694,1711451297.1150765,89443686.53492293,387534062.76301473,242464231.9941954,4571480.234845324,27644900.071400836,37600765.888396434,49971726.98586704,1618363.291201452,1372631.6112077327,3387849144.1466007
2022-12-16 00:00,251162985.45104417,582274775.2701192,1712481351.0559733,81112778.37573296,387651976.6385247,236286053.54236332,4440753.742431136,28686442.21796456,35869188.582189634,49837459.83762327,1618023.6022990874,1372631.6112077327,3372794419.927473
2022-12-17 00:00,250198376.7377096,582258804.0818411,1712408157.0121448,81796290.37059517,388616337.3062435,237750732.9515777,4445830.294749452,28329432.340570632,37867497.95200323,49870461.11523958,1618023.6022990874,1372631.6112077327,3376532575.3761816
2022-12-18 00:00,250058383.88761982,582663633.8368739,1712565841.283072,81274223.84774166,388450753.89399236,239430115.0050677,4480456.865395177,28050005.528284825,37524338.813318096,49873550.69664445,1618023.6022990874,1449539.8616208218,3377438867.1219296
2022-12-19 00:00,249655518.40770465,582619886.4798461,1709424972.6218276,81868531.11022,389481833.99010915,245038357.03947756,4445281.114549398,28473632.177894186,36188340.53758292,49848478.197829716,1618023.6022990874,1449539.8616208218,3380112395.140961
2022-12-20 00:00,250501557.01876077,582481990.7702811,1713317282.7244086,86573739.34780578,384548570.35726005,238492242.83241805,4463063.708052762,28471887.73789419,37289343.215973206,49930091.09004513,1615544.2596801794,1449539.8616208218,3379134852.9242005
2022-12-21 00:00,249641195.57607624,582562097.201885,1714879906.1246784,87365403.73342328,385884271.62351567,238807494.49261937,4463091.6180347,28437696.76303518,37070919.480319165,49939412.93673144,1615544.2596801794,620385.5437980236,3381287419.3537965
2022-12-22 00:00,251142207.55577305,581618409.5081668,1714369615.7853565,87460962.37963346,385948500.8086346,231023133.11893806,4458527.056613219,28274501.44997535,36664374.80000281,49941391.91424781,1615544.2596801794,620385.5437980236,3373137554.1808195
2022-12-23 00:00,251138587.05971426,581620110.807118,1713637869.4302454,84925128.67537826,386237695.4019342,225159162.7554473,4459481.911522872,28274501.44997535,36473282.137405224,49951983.592891514,1615122.5182310455,620385.5437980236,3364113311.283662
2022-12-24 00:00,251116397.8337522,581620110.807118,1713937947.73416,84588404.89530402,386012993.70163363,226450862.0576659,4459420.154386305,28274501.44997535,36663685.81231496,49954864.9746676,1615122.5182310455,619342.2674954633,3365313654.2067046
2022-12-25 00:00,261798434.18237457,581592556.0879172,1716594014.8769362,84136525.29171304,385722596.1256296,214995607.62078902,4458665.671164129,28018300.27217035,34230200.445948854,49953957.53316139,1615122.5182310455,619342.2674954633,3363735322.893531
2022-12-26 00:00,262275705.03199685,581292556.0879172,1715802149.426796,83917277.31439614,383530314.95435816,209210518.364804,4457096.840044272,28018300.27217035,33833024.39543809,49963630.4567797,1615122.5182310455,619342.2674954633,3354535037.930427
2022-12-27 00:00,261412335.10090935,581238458.420194,1715083221.6698925,81595143.15501282,382997854.6540053,203701783.36434883,4452627.800836014,28018300.27217035,33186900.097977594,49946186.49801981,1614869.2816848254,619342.2674954633,3343867022.582547
2022-12-28 00:00,261318257.3282071,581291377.7544616,1715584061.5722876,82171287.13272189,382295809.6386794,173189640.43622693,4407862.082016606,27202173.206076503,30335486.096165054,49919126.54067865,1614869.2816848254,619342.2674954633,3309949293.336702
2022-12-29 00:00,257538207.67772695,581446361.5485629,1720189897.1548681,82533103.30738935,381896498.4671404,175360154.6597372,4390728.01645932,27108618.983008433,30646243.444524962,49944074.585821636,1613277.5892501443,618648.9789136009,3313285814.413403
