evt_date,maker,aave,dydx,compound,uniswap,curve,treasury,other,sushiswap,balancer,bridge,bancor,total
2022-05-03 00:00,3951580738.683679,1081300835.564127,1150486471.853053,682281692.841635,4208327617.990461,71380837.60465,277659583.024685,514408701.590957,312410133.479776,159296321.456685,5375639858.200536,12301392.227075,17797074184.51732
2022-05-04 00:00,3859623744.747129,1060382497.445059,1148980493.973639,690326934.591169,4292701419.677464,74997219.579974,277459583.024685,516121522.955695,312221437.681473,161373925.092599,5395563144.683827,12626726.275379,17802378649.728092
2022-05-05 00:00,3800683462.967314,1053088128.616697,1157257177.656186,680651610.278803,4242223274.090561,74756384.477377,277759583.024685,521244143.120272,310104683.799364,163740443.711631,5381803666.191285,12152666.594175,17675465224.52835
2022-05-06 00:00,3723779386.031712,1051440541.765374,1156382580.026831,771752237.396805,4241036903.821377,73804387.011465,277772618.024685,524446192.223053,309106681.405943,152628783.648118,5352523702.31954,12123712.510598,17646797726.1855
2022-05-07 00:00,3581878569.72113,1063897964.944501,1159681194.699955,771240706.706036,4234826921.90866,74625725.659099,277772618.024685,518629175.675415,313140210.497058,139990216.849791,5362817426.84089,11870491.932584,17510371223.459805
2022-05-08 00:00,3318517827.546622,1103738355.913625,1165743447.40514,792439311.620269,4213238080.221612,75323188.945787,277772618.024685,513623793.296629,310790487.455363,129674833.97998,5348461431.321887,11659910.51864,17260983286.25024
2022-05-09 00:00,3193097963.436732,1060587757.220454,1181305957.46927,820949632.439243,4198050393.316286,66899375.181409,281396286.747945,456648357.351097,300810487.270585,118753886.330093,5261432935.283373,10939358.566393,16950872390.61288
2022-05-10 00:00,3072155204.309039,938568025.758613,1162357645.064951,826854826.391458,4235070287.022443,69150843.357162,283619017.219013,466776943.548386,303095563.382081,109107641.155099,5164326020.721725,11003959.691547,16642085977.621517
2022-05-11 00:00,2397022075.723587,985603055.705205,1153804740.542822,1027956192.759194,4173282984.867102,57352564.340751,283569017.219013,419152746.808957,299526454.261563,72636195.598025,4984770041.140378,10356832.384609,15865032901.351206
2022-05-12 00:00,2363151865.040071,432260070.383223,1121299970.46076,833672751.255579,4286236531.134119,51093898.612791,283241017.219013,330514527.286405,291506757.343114,71149392.606255,4792635693.286338,10031154.781327,14866793629.408995
2022-05-13 00:00,2424106032.374522,493689842.860323,1107302018.498524,900135383.931404,4413227585.390674,53776337.730487,283104331.109013,334496996.321985,292857288.968843,78313440.126895,4720888863.219616,10018560.378908,15111916680.911194
2022-05-14 00:00,2377166835.838983,522550861.437729,1106526517.54318,761361174.694566,4478617177.658465,54693794.099772,282917676.822483,321758739.845059,293709151.804203,78260894.753557,4698474312.271335,9645830.80486,14985682967.574192
2022-05-15 00:00,2387435353.161747,509520499.883077,1100713445.609202,750248419.548408,4534484818.845209,55734636.953624,282917676.822483,334727727.08212,295657485.035424,74467519.535315,4664540441.586268,9589863.878406,15000037887.941282
2022-05-16 00:00,2410559029.282852,544171257.736261,1098841095.429603,740425284.220183,4546317251.671733,56705038.687158,282717676.822483,325738140.697981,293428228.790369,71695516.5121,4649717658.959491,9358736.038676,15029674914.84889
2022-05-17 00:00,2531971016.110548,687728473.121458,1099816633.023289,670143554.765704,4604066678.251615,56158001.181507,282645286.822483,346569546.386295,294593421.246099,62435476.414476,4418671658.798444,9385624.854558,15064185370.976477
2022-05-18 00:00,2513824951.665843,760692942.07591,1098171808.477838,660379236.24349,4553696692.430816,55058560.426197,282547176.822483,307589609.403123,291228225.057377,61983344.688817,4344462619.184847,8486669.270612,14938121835.747353
2022-05-19 00:00,2513185927.379231,813569014.532563,1105273962.653945,683494837.539403,4683724800.97237,57350756.308831,282497176.822483,360176269.691963,267603541.034437,59392702.179418,4336762446.849684,8468015.272392,15171499451.23672
2022-05-20 00:00,2598230934.728411,794289760.501255,1117174916.452279,681507287.78829,4731892978.766532,57231793.388067,300479011.782483,353982459.410659,266530866.407562,58098636.848799,4375698565.000193,8377269.411425,15343494480.485954
2022-05-21 00:00,2616753105.245423,827462114.309918,1113876459.756968,678222551.514449,4755693397.392594,59284581.452407,300479011.782483,336098767.39276,266653176.433788,55195041.234434,4359021454.939262,8415842.491341,15377155503.945827
2022-05-22 00:00,2626906171.098679,1118158711.036396,1118615308.616541,656238162.212591,4804535489.509466,61451369.508176,300479011.782483,327285503.445824,267272571.402013,55305995.764348,4365306174.306293,8441678.694066,15709996147.376877
2022-05-23 00:00,2764433420.342028,1297281823.891818,1120013144.710866,666900280.758548,4802418728.036286,65432073.885466,300473011.782483,315124821.421326,266609930.895253,54325022.47715,4310938941.115065,8320943.820656,15972272143.136946
2022-05-24 00:00,2879427800.065937,1296677450.299177,1110593102.989528,681280365.517168,4820258515.85581,64047061.469449,300473011.782483,322246316.882266,267862856.70618,52918491.938449,4327435664.058564,8290192.640621,16131510830.205631
2022-05-25 00:00,2938530503.56348,1285375120.581392,1112131148.020143,671922500.72646,4810305853.214644,68407561.888005,301279890.54335,319959097.512585,267094131.392742,51859642.871222,4319310482.522366,8024943.166214,16154200876.002604
2022-05-26 00:00,2897297162.682265,1251594088.551541,1114361704.066228,678855182.228821,4864303084.156698,65849495.960916,301269890.54335,294325672.188547,265285434.198507,48697602.832579,4300254573.177828,7801735.766811,16089895626.354092
2022-05-27 00:00,2941539702.10598,1263551726.547596,1124342119.788999,762920443.04371,4874174706.454853,69577053.817696,301272782.01685,297254993.48508,264587182.830477,49313808.67005,4297778841.456248,7629642.941387,16253943003.158926
2022-05-28 00:00,2920080027.664456,1269439307.499654,1121575672.331679,755249149.683662,4933835132.105506,68788793.555068,301272782.01685,296228927.870447,265493267.032738,48727903.050205,4297880064.839988,7742093.569588,16286313121.219841
2022-05-29 00:00,2932024350.96869,1186174427.542238,1121063671.616883,766150653.91278,4949479779.882045,69873313.759469,301272782.01685,294057073.364993,265680760.781315,48660443.404827,4305587661.387192,7786550.100375,16247811468.737658
2022-05-30 00:00,2980931403.259888,1179660852.942545,1126864854.934108,749650482.408454,5019330849.446291,70231061.262669,301272782.01685,287916155.307186,268006719.075223,50532420.588508,4328395267.652377,7972383.430912,16370765232.32501
2022-05-31 00:00,2998920984.380023,1190502445.811319,1128623268.320702,738127429.717339,5023747066.812181,69848420.226335,301262782.01685,283402230.65887,267407375.598318,50618418.917118,4330564508.899785,7924454.771374,16390949386.130215
2022-06-01 00:00,3025117316.381386,1130994078.695275,1132691931.081584,745430659.399576,4987139187.025495,68377278.562138,301316064.41505,287971992.66983,265993517.599584,49356641.501768,4293590186.191923,7637658.77353,16295616512.297138
2022-06-02 00:00,3039176552.328942,1122925645.881757,1131457862.83279,736839710.691835,5049254003.929162,69540901.984819,301316064.41505,300111730.678201,266318234.269826,50995783.321907,4311216270.500998,7635992.900437,16386788753.735723
2022-06-03 00:00,3056787336.89632,1154077793.015571,1131722300.979737,744108757.075364,5041638431.881762,70304217.964153,301318909.53695,295755655.278101,275806840.982814,48430693.691372,4295555763.3984,7473830.650673,16422980531.351217
2022-06-04 00:00,3017870896.697261,1146901256.572094,1130735374.638401,744029725.176899,5041381489.80892,70754633.255841,301318909.53695,289532436.967442,276334524.414148,48489651.733641,4289198021.062365,7590208.19459,16364137128.058552
2022-06-05 00:00,3031062667.912277,1164647031.012657,1132863367.438216,740910365.261602,5053032698.697034,70932656.164182,301318909.53695,283288097.866503,276441277.61677,48884979.216186,4276211126.91206,7675593.303391,16387268770.937828
2022-06-06 00:00,3021041232.864675,1135686481.015795,1126957121.191825,737613438.324621,5099225526.373134,72503216.778091,301313909.53695,290023198.32307,277263077.264951,50560046.344694,4234471914.788874,7743826.244483,16354402989.051163
2022-06-07 00:00,3053740785.773787,1164004608.936971,1118004044.660053,715319510.463751,5130160735.123843,72579937.046671,301313905.33695,290642258.991303,275341598.253208,51648521.561589,4176665896.475292,7787433.435318,16357209236.058737
2022-06-08 00:00,3047997695.495001,1132607908.506861,1102256715.987187,725273292.893892,5157332210.243737,74256420.497763,300426076.69695,281870569.28063,274975021.770713,50273011.537378,4180547737.353339,7739423.926132,16335556084.189583
2022-06-09 00:00,3067429845.0581,1149808792.544955,1056292832.769246,731557680.301375,5154643074.666983,74374231.619446,300426076.69695,229520376.798348,274933438.95782,42886713.829647,4167054901.856351,7766023.411266,16256693988.510487
