date,oracle,Active Users
2018-09-29T00:00:00+00:00,Chainlink,22816
2018-09-30T00:00:00+00:00,Chainlink,22836
2018-10-01T00:00:00+00:00,Chainlink,22858
2018-10-02T00:00:00+00:00,Chainlink,22866
2018-10-03T00:00:00+00:00,Chainlink,22878
2018-10-04T00:00:00+00:00,Chainlink,22883
2018-10-05T00:00:00+00:00,Chainlink,22905
2018-10-06T00:00:00+00:00,Chainlink,22925
2018-10-07T00:00:00+00:00,Chainlink,22938
2018-10-08T00:00:00+00:00,Chainlink,22943
2018-10-09T00:00:00+00:00,Chainlink,22963
2018-10-10T00:00:00+00:00,Chainlink,22969
2018-10-11T00:00:00+00:00,Chainlink,22990
2018-10-12T00:00:00+00:00,Chainlink,22998
2018-10-13T00:00:00+00:00,Chainlink,23010
2018-10-14T00:00:00+00:00,Chainlink,23020
2018-10-15T00:00:00+00:00,Chainlink,23038
2018-10-16T00:00:00+00:00,Chainlink,23054
2018-10-17T00:00:00+00:00,Chainlink,23077
2018-10-18T00:00:00+00:00,Chainlink,23094
2018-10-19T00:00:00+00:00,Chainlink,23112
2018-10-20T00:00:00+00:00,Chainlink,23114
2018-10-21T00:00:00+00:00,Chainlink,23122
2018-10-22T00:00:00+00:00,Chainlink,23130
2018-10-23T00:00:00+00:00,Chainlink,23148
2018-10-24T00:00:00+00:00,Chainlink,23159
2018-10-25T00:00:00+00:00,Chainlink,23187
2018-10-26T00:00:00+00:00,Chainlink,23199
2018-10-27T00:00:00+00:00,Chainlink,23209
2018-10-28T00:00:00+00:00,Chainlink,23247
2018-10-29T00:00:00+00:00,Chainlink,23256
2018-10-30T00:00:00+00:00,Chainlink,23291
2018-10-31T00:00:00+00:00,Chainlink,23318
2018-11-01T00:00:00+00:00,Chainlink,23372
2018-11-02T00:00:00+00:00,Chainlink,23417
2018-11-03T00:00:00+00:00,Chainlink,23464
2018-11-04T00:00:00+00:00,Chainlink,23471
2018-11-05T00:00:00+00:00,Chainlink,23493
2018-11-06T00:00:00+00:00,Chainlink,23514
2018-11-07T00:00:00+00:00,Chainlink,23538
2018-11-08T00:00:00+00:00,Chainlink,23570
2018-11-09T00:00:00+00:00,Chainlink,23612
2018-11-10T00:00:00+00:00,Chainlink,23633
2018-11-11T00:00:00+00:00,Chainlink,23658
2018-11-12T00:00:00+00:00,Chainlink,23686
2018-11-13T00:00:00+00:00,Chainlink,23747
2018-11-14T00:00:00+00:00,Chainlink,23784
2018-11-15T00:00:00+00:00,Chainlink,23825
2018-11-16T00:00:00+00:00,Chainlink,23859
2018-11-17T00:00:00+00:00,Chainlink,23884
2018-11-18T00:00:00+00:00,Chainlink,23902
2018-11-19T00:00:00+00:00,Chainlink,23914
2018-11-20T00:00:00+00:00,Chainlink,23907
2018-11-21T00:00:00+00:00,Chainlink,23932
2018-11-22T00:00:00+00:00,Chainlink,23951
2018-11-23T00:00:00+00:00,Chainlink,23960
2018-11-24T00:00:00+00:00,Chainlink,23975
2018-11-25T00:00:00+00:00,Chainlink,23974
2018-11-26T00:00:00+00:00,Chainlink,24001
2018-11-27T00:00:00+00:00,Chainlink,24016
2018-11-28T00:00:00+00:00,Chainlink,24037
2018-11-29T00:00:00+00:00,Chainlink,24101
2018-11-30T00:00:00+00:00,Chainlink,24129
2018-12-01T00:00:00+00:00,Chainlink,24153
2018-12-02T00:00:00+00:00,Chainlink,24169
2018-12-03T00:00:00+00:00,Chainlink,24174
2018-12-04T00:00:00+00:00,Chainlink,24197
2018-12-05T00:00:00+00:00,Chainlink,24178
2018-12-06T00:00:00+00:00,Chainlink,24183
2018-12-07T00:00:00+00:00,Chainlink,24200
2018-12-08T00:00:00+00:00,Chainlink,24214
2018-12-09T00:00:00+00:00,Chainlink,24222
2018-12-10T00:00:00+00:00,Chainlink,24240
2018-12-11T00:00:00+00:00,Chainlink,24246
2018-12-12T00:00:00+00:00,Chainlink,24255
2018-12-13T00:00:00+00:00,Chainlink,24270
2018-12-14T00:00:00+00:00,Chainlink,24287
2018-12-15T00:00:00+00:00,Chainlink,24305
2018-12-16T00:00:00+00:00,Chainlink,24315
2018-12-17T00:00:00+00:00,Chainlink,24331
2018-12-18T00:00:00+00:00,Chainlink,24353
2018-12-19T00:00:00+00:00,Chainlink,24381
2018-12-20T00:00:00+00:00,Chainlink,24386
2018-12-21T00:00:00+00:00,Chainlink,24153
2018-12-22T00:00:00+00:00,Chainlink,24166
2018-12-23T00:00:00+00:00,Chainlink,24196
2018-12-24T00:00:00+00:00,Chainlink,24212
2018-12-25T00:00:00+00:00,Chainlink,24238
2018-12-26T00:00:00+00:00,Chainlink,24249
2018-12-27T00:00:00+00:00,Chainlink,24267
2018-12-28T00:00:00+00:00,Chainlink,24289
2018-12-29T00:00:00+00:00,Chainlink,24307
2018-12-30T00:00:00+00:00,Chainlink,24325
2018-12-31T00:00:00+00:00,Chainlink,24342
2019-01-01T00:00:00+00:00,Chainlink,24381
2019-01-02T00:00:00+00:00,Chainlink,24418
2019-01-03T00:00:00+00:00,Chainlink,24449
2019-01-04T00:00:00+00:00,Chainlink,24468
2019-01-05T00:00:00+00:00,Chainlink,24496
2019-01-06T00:00:00+00:00,Chainlink,24542
2019-01-07T00:00:00+00:00,Chainlink,24580
2019-01-08T00:00:00+00:00,Chainlink,24626
2019-01-09T00:00:00+00:00,Chainlink,24655
2019-01-10T00:00:00+00:00,Chainlink,24688
2019-01-11T00:00:00+00:00,Chainlink,24711
2019-01-12T00:00:00+00:00,Chainlink,24741
2019-01-13T00:00:00+00:00,Chainlink,24772
2019-01-14T00:00:00+00:00,Chainlink,24840
2019-01-15T00:00:00+00:00,Chainlink,24884
2019-01-16T00:00:00+00:00,Chainlink,24928
2019-01-17T00:00:00+00:00,Chainlink,24926
2019-01-18T00:00:00+00:00,Chainlink,24943
2019-01-19T00:00:00+00:00,Chainlink,24962
2019-01-20T00:00:00+00:00,Chainlink,24994
2019-01-21T00:00:00+00:00,Chainlink,25033
2019-01-22T00:00:00+00:00,Chainlink,25083
2019-01-23T00:00:00+00:00,Chainlink,25102
2019-01-24T00:00:00+00:00,Chainlink,25124
2019-01-25T00:00:00+00:00,Chainlink,25132
2019-01-26T00:00:00+00:00,Chainlink,25156
2019-01-27T00:00:00+00:00,Chainlink,25176
2019-01-28T00:00:00+00:00,Chainlink,25195
2019-01-29T00:00:00+00:00,Chainlink,25222
2019-01-30T00:00:00+00:00,Chainlink,25242
2019-01-31T00:00:00+00:00,Chainlink,25263
2019-02-01T00:00:00+00:00,Chainlink,25297
2019-02-02T00:00:00+00:00,Chainlink,25320
2019-02-03T00:00:00+00:00,Chainlink,25340
2019-02-04T00:00:00+00:00,Chainlink,25351
2019-02-05T00:00:00+00:00,Chainlink,25367
2019-02-06T00:00:00+00:00,Chainlink,25394
2019-02-07T00:00:00+00:00,Chainlink,25421
2019-02-08T00:00:00+00:00,Chainlink,25446
2019-02-09T00:00:00+00:00,Chainlink,25477
2019-02-10T00:00:00+00:00,Chainlink,25503
2019-02-11T00:00:00+00:00,Chainlink,25532
2019-02-12T00:00:00+00:00,Chainlink,25567
2019-02-13T00:00:00+00:00,Chainlink,25586
2019-02-14T00:00:00+00:00,Chainlink,25610
2019-02-15T00:00:00+00:00,Chainlink,25622
2019-02-16T00:00:00+00:00,Chainlink,25662
2019-02-17T00:00:00+00:00,Chainlink,25685
2019-02-18T00:00:00+00:00,Chainlink,25714
2019-02-19T00:00:00+00:00,Chainlink,25744
2019-02-20T00:00:00+00:00,Chainlink,25768
2019-02-21T00:00:00+00:00,Chainlink,25792
2019-02-22T00:00:00+00:00,Chainlink,25808
2019-02-23T00:00:00+00:00,Chainlink,25851
2019-02-24T00:00:00+00:00,Chainlink,25896
2019-02-25T00:00:00+00:00,Chainlink,25926
2019-02-26T00:00:00+00:00,Chainlink,25941
2019-02-27T00:00:00+00:00,Chainlink,25938
