author11,author10,author9,author8,author7,author6,author5,author4,author3,author2,author1,EIP_Number,Title,Author,Status,author1_id,author2_id,author3_id,author4_id,author5_id,author6_id,author7_id,author8_id,author9_id,author10_id,author11_id
,,,,,,,,,,nitika-goel,1132,Extending ERC20 with token locking capability,nitika-goel,Stagnant,61,,,,,,,,,,
,,,,,,,,,,omnussunmo,4886,Proxy Ownership Register,Omnus Sunmo,Draft,222,,,,,,,,,,
,,,,,,,,,,pandapip1,4834,Hierarchical Domains,Pandapip1,Review,219,,,,,,,,,,
,,,,,,,,,,pandapip1,5219,Contract Resource Requests,Pandapip1,Draft,219,,,,,,,,,,
,,,,,,,,,,pandapip1,5289,Ethereum Notary Interface,Pandapip1,Draft,219,,,,,,,,,,
,,,,,,,,,,pandapip1,5568,Required Action Signals Using Revert Reasons,Pandapip1,Draft,219,,,,,,,,,,
,,,,,,,,,,pandapip1,5615,EIP-1155 Supply Extension,Pandapip1,Review,219,,,,,,,,,,
,,,,,,,,,,paulberg,1620,Money Streaming,Paul Berg,Stagnant,99,,,,,,,,,,
,,,,,,,,,,pauledge,5850,Complex Numbers stored in `bytes32` types,Paul Edge,Draft,296,,,,,,,,,,
,,,,,,,,,,pedrogomes,3091,Block Explorer API Routes,Pedro Gomes,Stagnant,120,,,,,,,,,,
,,,,,,,,,,pellebraendgaard,1812,Ethereum Verifiable Claims,Pelle Braendgaard,Stagnant,53,,,,,,,,,,
,,,,,,,,,,peterdavies,4747,Simplify EIP-161,Peter Davies,Stagnant,213,,,,,,,,,,
,,,,,,,,,,petergrassberger,3014,eth_symbol JSON-RPC method,Peter Grassberger,Stagnant,160,,,,,,,,,,
,,,,,,,,,,peterszilagyi,225,Clique proof-of-authority consensus protocol,Peter Szilagyi,Final,18,,,,,,,,,,
,,,,,,,,,,peterszilagyi,706,DEVp2p snappy compression,Peter Szilagyi,Final,18,,,,,,,,,,
,,,,,,,,,,philippecastonguay,3382,Hardcoded Block Gas Limit,Philippe Castonguay,Withdrawn,177,,,,,,,,,,
,,,,,,,,,,pinkiebell,3448,MetaProxy Standard,pinkiebell,Final,181,,,,,,,,,,
,,,,,,,,,,qizhou,5018,Filesystem-like Interface for Smart Contracts,Qi Zhou,Draft,217,,,,,,,,,,
,,,,,,,,,,qizhou,5027,Remove the limit on contract code size,Qi Zhou,Draft,217,,,,,,,,,,
,,,,,,,,,,qizhou,5478,CREATE2COPY Opcode,Qi Zhou,Draft,217,,,,,,,,,,
,,,,,,,,,,query0x,3374,Predictable Proof-of-Work (POW) Sunsetting,Query0x,Withdrawn,176,,,,,,,,,,
,,,,,,,,,,remcobloemen,1829,Precompile for Elliptic Curve Linear Combinations,Remco Bloemen,Stagnant,29,,,,,,,,,,
,,,,,,,,,,ricardoguilhermeschmidt,2470,Singleton Factory,Ricardo Guilherme Schmidt,Stagnant,132,,,,,,,,,,
,,,,,,,,,,ricardoguilhermeschmidt,2474,Coinbase calls,Ricardo Guilherme Schmidt,Stagnant,132,,,,,,,,,,
,,,,,,,,,,richardmoore,634,Storage of text records in ENS,Richard Moore,Stagnant,22,,,,,,,,,,
,,,,,,,,,,ronansandford,107,"safe """"eth_sendTransaction"""" authorization via html popup",Ronan Sandford,Stagnant,9,,,,,,,,,,
,,,,,,,,,,ronansandford,1930,CALLs with strict gas semantic. Revert if not enough gas available.,Ronan Sandford,Stagnant,9,,,,,,,,,,
,,,,,,,,,,ronansandford,1959,New Opcode to check if a chainID is part of the history of chainIDs,Ronan Sandford,Stagnant,9,,,,,,,,,,
,,,,,,,,,,ronansandford,1965,Method to check if a chainID is valid at a specific block Number,Ronan Sandford,Stagnant,9,,,,,,,,,,
,,,,,,,,,,ronansandford,5409,EIP-1155 Non-Fungible Token extension,Ronan Sandford,Draft,9,,,,,,,,,,
