START_DATE,Intra_day_vol,Date,Meeting
2017-04-16,0.4419470671301326,2017-04-16,0
2017-04-17,0.1650735453133515,2017-04-17,0
2017-04-18,0.7494044737105534,2017-04-18,0
2017-04-19,0.4710733965397941,2017-04-19,0
2017-04-20,0.3985405894626992,2017-04-20,0
2017-04-21,0.26646912973447645,2017-04-21,0
2017-04-22,0.12024130328008163,2017-04-22,0
2017-04-23,0.1794355077716655,2017-04-23,0
2017-04-24,0.23510366199627306,2017-04-24,0
2017-04-25,0.1767582480702676,2017-04-25,0
2017-04-26,1.42939330395497,2017-04-26,0
2017-04-27,3.4744906570729124,2017-04-27,0
2017-04-28,2.3052477939050955,2017-04-28,0
2017-04-29,1.27206603317345,2017-04-29,0
2017-04-30,3.5158424063212754,2017-04-30,0
2017-05-01,2.6214082051944603,2017-05-01,0
2017-05-02,1.5024395017842622,2017-05-02,0
2017-05-03,1.3549645029844266,2017-05-03,0
2017-05-04,3.9305436941832936,2017-05-04,0
2017-05-05,2.963025743723977,2017-05-05,0
2017-05-06,0.8261838234587562,2017-05-06,0
2017-05-07,1.1119332133786097,2017-05-07,0
2017-05-08,1.2741014878922634,2017-05-08,0
2017-05-09,2.997038030543109,2017-05-09,0
2017-05-10,1.3935347611146205,2017-05-10,0
2017-05-11,0.9447519995108297,2017-05-11,0
2017-05-12,1.8608107551996467,2017-05-12,0
2017-05-13,1.3281445458919814,2017-05-13,0
2017-05-14,0.5654753034753857,2017-05-14,0
2017-05-15,1.4413859574246157,2017-05-15,0
2017-05-16,1.332224289664102,2017-05-16,0
2017-05-17,0.8281444248473802,2017-05-17,0
2017-05-18,2.7326733473264624,2017-05-18,0
2017-05-19,7.707941686094406,2017-05-19,0
2017-05-20,1.659868817935205,2017-05-20,0
2017-05-21,8.104066869099775,2017-05-21,0
2017-05-22,10.928682039623459,2017-05-22,0
2017-05-23,3.3632487044264323,2017-05-23,0
2017-05-24,8.4569892199687,2017-05-24,0
2017-05-25,9.722758590104418,2017-05-25,0
2017-05-26,12.764419297406363,2017-05-26,0
2017-05-27,10.3118411954694,2017-05-27,0
2017-05-28,5.696907612080415,2017-05-28,0
2017-05-29,9.346264385893141,2017-05-29,0
2017-05-30,9.395106024422766,2017-05-30,0
2017-05-31,3.7065990652395584,2017-05-31,0
2017-06-01,6.810630424223746,2017-06-01,0
2017-06-02,3.5053708015731533,2017-06-02,0
2017-06-03,1.5276343367005933,2017-06-03,0
2017-06-04,7.4106034489952854,2017-06-04,0
2017-06-05,1.460699653679987,2017-06-05,0
2017-06-06,5.138547347313225,2017-06-06,0
2017-06-07,3.9502245166425793,2017-06-07,0
2017-06-08,2.72582174154266,2017-06-08,0
2017-06-09,6.410411311952303,2017-06-09,0
2017-06-10,18.475987157639942,2017-06-10,0
2017-06-11,5.687239323537243,2017-06-11,0
2017-06-12,20.11080648556887,2017-06-12,0
2017-06-13,7.107232678094894,2017-06-13,0
2017-06-14,18.040015660642656,2017-06-14,0
2017-06-15,21.096407650613617,2017-06-15,0
2017-06-16,11.196249339638815,2017-06-16,1
2017-06-17,7.218868982330818,2017-06-17,0
2017-06-18,10.172533743056487,2017-06-18,0
2017-06-19,2.8574433375898054,2017-06-19,0
2017-06-20,7.165300126707672,2017-06-20,0
2017-06-21,14.642791653322027,2017-06-21,0
2017-06-22,5.344936585353393,2017-06-22,0
2017-06-23,3.286464555622411,2017-06-23,0
2017-06-24,9.71022541119573,2017-06-24,0
2017-06-25,15.366499889063217,2017-06-25,0
2017-06-26,20.26049513322609,2017-06-26,0
2017-06-27,17.384477912281657,2017-06-27,0
2017-06-28,17.8776360780482,2017-06-28,0
2017-06-29,7.872672971116296,2017-06-29,0
2017-06-30,8.125942877286752,2017-06-30,1
2017-07-01,7.028959351512674,2017-07-01,0
2017-07-02,10.306280825619002,2017-07-02,0
2017-07-03,2.239300971414904,2017-07-03,0
2017-07-04,5.248139767050112,2017-07-04,0
2017-07-05,4.669498545525691,2017-07-05,0
2017-07-06,3.3752159082844075,2017-07-06,0
2017-07-07,9.415342464928393,2017-07-07,0
2017-07-08,3.59393326879892,2017-07-08,0
2017-07-09,2.7308104851485298,2017-07-09,0
2017-07-10,12.083153734297452,2017-07-10,0
2017-07-11,8.235199239954005,2017-07-11,0
2017-07-12,11.982403130533076,2017-07-12,0
2017-07-13,8.483942334565445,2017-07-13,0
2017-07-14,5.46531029921144,2017-07-14,1
2017-07-15,6.718312727597389,2017-07-15,0
2017-07-16,9.205829192592507,2017-07-16,0
2017-07-17,8.386460609695309,2017-07-17,0
2017-07-18,18.7674069730678,2017-07-18,0
2017-07-19,14.407709565629647,2017-07-19,0
2017-07-20,9.600997221379018,2017-07-20,0
2017-07-21,6.632697606270909,2017-07-21,0
2017-07-22,3.6208525499398343,2017-07-22,0
2017-07-23,2.879815532286751,2017-07-23,0
2017-07-24,1.5258705640587251,2017-07-24,0
2017-07-25,9.941854979569078,2017-07-25,0
2017-07-26,3.3370971504144658,2017-07-26,0
2017-07-27,1.7407057018863707,2017-07-27,0
2017-07-28,4.422485017711651,2017-07-28,1
2017-07-29,7.464969483129716,2017-07-29,0
2017-07-30,2.4370470593661455,2017-07-30,0
2017-07-31,2.738385221839407,2017-07-31,0
2017-08-01,6.778814491177432,2017-08-01,0
2017-08-02,3.263595393320735,2017-08-02,0
2017-08-03,2.3804438753052475,2017-08-03,0
2017-08-04,1.71942730396584,2017-08-04,0
2017-08-05,10.418525584856951,2017-08-05,0
2017-08-06,5.517893619851678,2017-08-06,0
2017-08-07,4.408866560446806,2017-08-07,0
2017-08-08,9.791371228968794,2017-08-08,0
2017-08-09,8.635933513229912,2017-08-09,0
2017-08-10,4.928639738702042,2017-08-10,0
2017-08-11,2.7108397543774134,2017-08-11,1
2017-08-12,3.0901601372603644,2017-08-12,0
2017-08-13,3.8489195736021875,2017-08-13,0
2017-08-14,2.470983749118117,2017-08-14,0
2017-08-15,5.248368673395949,2017-08-15,0
2017-08-16,7.217926041501078,2017-08-16,0
2017-08-17,3.0019510563844314,2017-08-17,0
2017-08-18,4.6653905928719235,2017-08-18,0
2017-08-19,2.7473916154064804,2017-08-19,0
2017-08-20,2.08814628110782,2017-08-20,0
2017-08-21,12.28947215733036,2017-08-21,0
2017-08-22,6.178271166066554,2017-08-22,0
2017-08-23,2.576742937637886,2017-08-23,0
2017-08-24,2.583972302931845,2017-08-24,0
2017-08-25,2.6684756545340016,2017-08-25,1
2017-08-26,1.7784480695909668,2017-08-26,0
2017-08-27,3.6579881815325757,2017-08-27,0
2017-08-28,2.422789744267424,2017-08-28,0
2017-08-29,9.41341376417994,2017-08-29,0
2017-08-30,4.948956777787197,2017-08-30,0
2017-08-31,2.3549411513001886,2017-08-31,0
2017-09-01,1.65949698813319,2017-09-01,0
2017-09-02,14.982944452160321,2017-09-02,0
2017-09-03,5.459082430066499,2017-09-03,0
2017-09-04,19.090941052070306,2017-09-04,0
2017-09-05,8.333453437540298,2017-09-05,0
2017-09-06,5.5221154677469855,2017-09-06,0
2017-09-07,3.7227884204166726,2017-09-07,0
2017-09-08,13.802532369780588,2017-09-08,1
2017-09-09,3.454870852679696,2017-09-09,0
2017-09-10,5.504561728134283,2017-09-10,0
2017-09-11,4.218799519301428,2017-09-11,0
2017-09-12,6.6944398164836665,2017-09-12,0
2017-09-13,7.862583931949881,2017-09-13,0
2017-09-14,18.86184508472061,2017-09-14,0
2017-09-15,18.759031911611785,2017-09-15,0
2017-09-16,7.498830440209632,2017-09-16,0
2017-09-17,7.554516920743334,2017-09-17,0
2017-09-18,8.003297644621616,2017-09-18,0
2017-09-19,3.6701628670965647,2017-09-19,0
2017-09-20,3.4115296571258935,2017-09-20,0
2017-09-21,10.242714165603822,2017-09-21,0
2017-09-22,4.286501478774531,2017-09-22,1
2017-09-23,8.255669066715884,2017-09-23,0
2017-09-24,4.063567161953906,2017-09-24,0
2017-09-25,3.7308858319317224,2017-09-25,0
2017-09-26,2.1063669870319277,2017-09-26,0
2017-09-27,7.371512722558374,2017-09-27,0
2017-09-28,3.26796960853658,2017-09-28,0
2017-09-29,4.623213148757103,2017-09-29,0
2017-09-30,2.9334643107286285,2017-09-30,0
2017-10-01,1.6357885458293748,2017-10-01,0
2017-10-02,2.4948465361882173,2017-10-02,0
2017-10-03,3.10151058917789,2017-10-03,0
2017-10-04,1.2891615492249315,2017-10-04,0
2017-10-05,2.8833042639064246,2017-10-05,0
2017-10-06,3.3331972888904366,2017-10-06,0
2017-10-07,1.895182106656594,2017-10-07,0
2017-10-08,1.0328031891586222,2017-10-08,0
2017-10-09,5.411294348096337,2017-10-09,0
2017-10-10,2.867082923940922,2017-10-10,0
2017-10-11,1.0586661008285079,2017-10-11,0
2017-10-12,1.4842325274875907,2017-10-12,0
2017-10-13,15.018959557694137,2017-10-13,0
2017-10-14,3.277231483379252,2017-10-14,0
2017-10-15,5.7353986000494634,2017-10-15,0
2017-10-16,4.021904133904605,2017-10-16,0
2017-10-17,6.002397528234551,2017-10-17,0
2017-10-18,5.966705630995755,2017-10-18,0
2017-10-19,2.5500264278255362,2017-10-19,0
2017-10-20,1.795985660508912,2017-10-20,0
2017-10-21,2.477037003930412,2017-10-21,0
2017-10-22,3.604089464700525,2017-10-22,0
2017-10-23,4.917873568401572,2017-10-23,0
2017-10-24,6.192489607276862,2017-10-24,0
2017-10-25,2.4226691696963276,2017-10-25,0
2017-10-26,1.282973716788843,2017-10-26,0
2017-10-27,1.3718471098317113,2017-10-27,0
2017-10-28,0.9657203326375388,2017-10-28,0
2017-10-29,4.845422985977893,2017-10-29,0
2017-10-30,1.2824957976595766,2017-10-30,0
2017-10-31,1.3982004479879335,2017-10-31,0
2017-11-01,3.7182888186813075,2017-11-01,0
2017-11-02,2.603562219706679,2017-11-02,0
2017-11-03,6.107387721653889,2017-11-03,0
2017-11-04,1.9154448058735078,2017-11-04,0
2017-11-05,1.7011091330683696,2017-11-05,0
2017-11-06,3.0642936628485913,2017-11-06,0
2017-11-07,4.552903815387923,2017-11-07,0
2017-11-08,6.873530501712406,2017-11-08,0
2017-11-09,6.319306453873804,2017-11-09,0
2017-11-10,9.731901336490667,2017-11-10,0
2017-11-11,6.412559178470898,2017-11-11,0
2017-11-12,3.3488126546064167,2017-11-12,0
2017-11-13,1.9336582060878775,2017-11-13,0
2017-11-14,5.727922202127336,2017-11-14,0
2017-11-15,3.838793968219034,2017-11-15,0
2017-11-16,2.6946161768570547,2017-11-16,0
2017-11-17,1.7461558192004232,2017-11-17,0
2017-11-18,5.0738673862866435,2017-11-18,0
2017-11-19,5.6749050780543815,2017-11-19,0
2017-11-20,5.0642111529288805,2017-11-20,0
2017-11-21,5.198237420761837,2017-11-21,0
2017-11-22,4.529866747888194,2017-11-22,0
2017-11-23,16.94648263598922,2017-11-23,0
2017-11-24,23.412721350037312,2017-11-24,0
2017-11-25,5.092333947830989,2017-11-25,0
2017-11-26,4.994454243298837,2017-11-26,0
2017-11-27,6.461245883694977,2017-11-27,0
2017-11-28,3.966711758360195,2017-11-28,0
2017-11-29,20.788489063330985,2017-11-29,0
2017-11-30,14.873529058924335,2017-11-30,0
2017-12-01,14.4398527496242,2017-12-01,1
2017-12-02,4.816252075833525,2017-12-02,0
