Number,Title,Author,Status
1996,Holdable Token,"Julio Faura, Fernando Paris, Daniel Lehrner",Stagnant
2003,EVMC modules for implementations of precompiled contracts,"Paweł Bylica, Alex Beregszaszi",Stagnant
2009,Compliance Service,Daniel Lehrner,Stagnant
2014,Extended State Oracle,Alex Beregszaszi,Stagnant
2015,Wallet Update Ethereum Chain RPC Method (`wallet_updateEthereumChain`),"Pedro Gomes, Erik Marks",Stagnant
2018,Clearable Token,"Julio Faura, Fernando Paris, Daniel Lehrner",Stagnant
2019,Fundable Token,"Fernando Paris, Julio Faura, Daniel Lehrner",Stagnant
2020,E-Money Standard Token,"Julio Faura, Fernando Paris, Daniel Lehrner",Stagnant
2021,Payoutable Token,"Fernando Paris, Julio Faura, Daniel Lehrner",Stagnant
2026,State Rent H - Fixed Prepayment for accounts,Alexey Akhunov,Stagnant
2027,State Rent C - Net contract size accounting,Alexey Akhunov,Stagnant
2029,State Rent A - State counters contract,Alexey Akhunov,Stagnant
2031,State Rent B - Net transaction counter,Alexey Akhunov,Stagnant
2035,Stateless Clients - Repricing SLOAD and SSTORE to pay for block proofs,Alexey Akhunov,Stagnant
2045,Particle gas costs for EVM opcodes,"Casey Detrio, Alex Beregszaszi",Stagnant
2046,Reduced gas cost for static calls made to precompiles,Alex Beregszaszi,Stagnant
2069,Recommendation for using YAML ABI in ERCs/EIPs,Alex Beregszaszi,Stagnant
2070,Hardfork Meta: Berlin,Alex Beregszaszi,Stagnant
2157,dType Storage Extension - Decentralized Type System for EVM,"Loredana Cirstea, Christian Tzurcanu",Stagnant
2193,dType Alias Extension - Decentralized Type System,"Loredana Cirstea, Christian Tzurcanu",Stagnant
2242,Transaction Postdata,John Adler,Stagnant
2255,Wallet Permissions System,"Dan Finlay, Erik Marks",Stagnant
2256,wallet_getOwnedAssets JSON-RPC Method,Loredana Cirstea,Stagnant
2304,Multichain address resolution for ENS,Nick Johnson,Stagnant
2327,BEGINDATA opcode,Martin Lundfall,Stagnant
2333,BLS12-381 Key Generation,Carl Beekhuizen,Stagnant
2334,BLS12-381 Deterministic Account Hierarchy,Carl Beekhuizen,Stagnant
2335,BLS12-381 Keystore,Carl Beekhuizen,Stagnant
2378,EIPs Eligible for Inclusion,James Hancock,Stagnant
2386,Ethereum 2 Hierarchical Deterministic Walletstore,Jim McDonald,Stagnant
2390,Geo-ENS,James Choncholas,Stagnant
2470,Singleton Factory,Ricardo Guilherme Schmidt,Stagnant
2474,Coinbase calls,Ricardo Guilherme Schmidt,Stagnant
2477,Token Metadata Integrity,"Kristijan Sedlak, William Entriken, Witek Radomski",Stagnant
2488,Deprecate the CALLCODE opcode,Alex Beregszaszi,Stagnant
2494,Baby Jubjub Elliptic Curve,"Barry WhiteHat, Marta Bellés, Jordi Baylina",Stagnant
2515,Implement Difficulty Freeze,James Hancock,Stagnant
2520,Multiple contenthash records for ENS,Filip Štamcar,Stagnant
2525,ENSLogin,Hadrien Croubois,Stagnant
2537,Precompile for BLS12-381 curve operations,"Alex Vlasov, Kelly Olson",Stagnant
2539,BLS12-377 curve operations,Alex Vlasov,Stagnant
2542,New opcodes TXGASLIMIT and CALLGASLIMIT,Alex Forshtat,Stagnant
2544,ENS Wildcard Resolution,"Nick Johnson, 0age",Stagnant
2566,Human Readable Parameters for Contract Function Execution,Joseph Stockermans,Stagnant
2569,Saving and Displaying Image Onchain for Universal Tokens,"Hua Zhang, Yuefei Tan, Derek Zhou, Ran Xing",Stagnant
2583,Penalty for account trie misses,Martin Holst Swende,Stagnant
2584,Trie format transition with overlay trees,Guillaume Ballet,Stagnant
2593,Escalator fee market change for ETH 1.0 chain,Dan Finlay,Stagnant
2615,Non-Fungible Token with mortgage and rental functions,Kohshi Shiba,Stagnant
2645,Hierarchical Deterministic Wallet for Layer-2,"Tom Brand, Louis Guthmann",Stagnant
2657,Ephemeral Testnet Yolo,James Hancock,Stagnant
2666,Repricing of precompiles and Keccak256 function,Alex Vlasov,Stagnant
2677,Limit size of `initcode`,"Martin Holst Swende, Paweł Bylica, Alex Beregszaszi",Stagnant
2680,Ethereum 2 wallet layout,Jim McDonald,Stagnant
2746,Rules Engine Standard,"Aaron Kendall, Juan Blanco",Stagnant
2767,Contract Ownership Governance,"Soham Zemse, Nick Mudge",Stagnant
2770,Meta-Transactions Forwarder Contract,"Alex Forshtat, Dror Tirosh",Stagnant
2803,Rich Transactions,Micah Zoltu,Stagnant
2831,Transaction Replacement Message Type,Gregory Markou,Stagnant
2844,Add DID related methods to the JSON-RPC,Joel Thorstensson,Stagnant
2848,My Own Messages (MOM),Giuseppe Bertone,Stagnant
2876,Deposit contract and address standard,Jonathan Underwood,Stagnant
2917,Staking Reward Calculation,"Tony Carson, Mehmet Sabir Kiraz, Süleyman Kardaş",Stagnant
2926,Chunk-Based Code Merkleization,"Sina Mahmoodi, Alex Beregszaszi",Stagnant
2935,Save historical block hashes in state,"Vitalik Buterin, Tomasz Stanczak",Stagnant
2936,EXTCLEAR Opcode For SELFDESTRUCTed contracts,William Morriss,Stagnant
2937,SET_INDESTRUCTIBLE opcode,Vitalik Buterin,Stagnant
2938,Account Abstraction,"Vitalik Buterin, Ansgar Dietrichs, Matt Garnett, Will Villanueva, Sam Wilson",Stagnant
2942,EthPM URI Specification,"Nick Gheorghita, Piper Merriam, g. nicholas d'andrea, Benjamin Hauser",Stagnant
2970,IS_STATIC opcode,Vitalik Buterin,Stagnant
2980,Swiss Compliant Asset Token,"Gianluca Perletti, Alan Scarpellini, Roberto Gorini, Manuel Olivi",Stagnant
2997,IMPERSONATECALL Opcode,Sergio Demian Lerner,Stagnant
3000,Optimistic enactment governance standard,"Jorge Izquierdo, Fabien Marino",Stagnant
3005,Batched meta transactions,Matt,Stagnant
3009,Transfer With Authorization,"Peter Jihoon Kim, Kevin Britz, David Knott",Stagnant
3014,eth_symbol JSON-RPC method,Peter Grassberger,Stagnant
3026,BW6-761 curve operations,"Youssef El Housni, Michael Connor, Aurore Guillevic",Stagnant
3030,BLS Remote Signer HTTP API,Herman Junge,Stagnant
3041,Adds `baseFee` to `eth_getBlockByHash`,Abdelhamid Bakhta,Stagnant
3044,Adds `baseFee` to `eth_getBlockByNumber`,Abdelhamid Bakhta,Stagnant
3045,Adds `baseFee` to `eth_getUncleByBlockHashAndIndex`,Abdelhamid Bakhta,Stagnant
3046,Adds `baseFee` to `eth_getUncleByBlockNumberAndIndex`,Abdelhamid Bakhta,Stagnant
3068,Precompile for BN256 HashToCurve Algorithms,Dr. Christopher Gorman,Stagnant
3074,AUTH and AUTHCALL opcodes,"Sam Wilson, Ansgar Dietrichs, Matt Garnett, Micah Zoltu",Stagnant
3085,Wallet Add Ethereum Chain RPC Method (`wallet_addEthereumChain`),"Erik Marks, Pedro Gomes",Stagnant
3091,Block Explorer API Routes,Pedro Gomes,Stagnant
3135,Exclusive Claimable Token,Zhenyu Sun,Stagnant
3143,Increase block rewards to 5 ETH,Ben Tinner,Stagnant
3155,EVM trace specification,"Martin Holst Swende, Marius van der Wijden",Stagnant
3220,Crosschain Identifier Specification,"Weijia Zhang, Peter Robinson",Stagnant
3224,Described Data,"Richard Moore, Nick Johnson",Stagnant
3234,Batch Flash Loans,"Alberto Cuesta Cañada, Fiona Kobayashi, fubuloubu, Austin Williams",Stagnant
3238,Difficulty Bomb Delay to Q2/2022,Afri Schoedon,Stagnant
3267,Giving Ethereum fees to Future Salaries,"Victor Porton, Victor Porton",Stagnant
3298,Removal of refunds,"Vitalik Buterin, Martin Swende",Stagnant
3300,Phase out refunds,William Morriss,Stagnant
