Number,Title,Author,Status
908,Reward clients for a sustainable network,"James Ray, Micah Zoltu",Withdrawn
5169,Client Script URI for Token Contracts,"James, Weiwu",Draft
5501,Rental & Delegation NFT - EIP-721 Extension,"Jan Smrza, David Rábel, Tomas Janca, Jan Bures, DOBBYLABS",Draft
1129,Standardised DAPP announcements,Jan Turk,Stagnant
5023,Shareable Non-Fungible Token,"Jarno Marttila, Martin Moravek",Last Call
4519,Non-Fungible Tokens Tied to Physical Assets,"Javier Arcenegui, Rosario Arjona, Roberto Roman, Iluminada Baturone",Final
918,Mineable Token Standard,"Jay Logelin, Infernal_toast, Michael Seiler, Brandon Grill",Stagnant
1203,ERC-1203 Multi-Class Token Standard (ERC-20 Extension),"Jeff Huang, Min Zu",Stagnant
5496,Multi-privilege Management NFT Extension,Jeremy Z,Last Call
1175,Wallet & shop standard for all tokens (erc20),Jet Lim,Stagnant
1438,dApp Components (avatar) & Universal Wallet,Jet Lim,Stagnant
1185,Storage of DNS Records in ENS,Jim McDonald,Stagnant
2386,Ethereum 2 Hierarchical Deterministic Walletstore,Jim McDonald,Stagnant
2680,Ethereum 2 wallet layout,Jim McDonald,Stagnant
3643,T-REX - Token for Regulated EXchanges,"Joachim Lebrun, Tony Malghem, Kevin Thizy, Luc Falempin, Adam Boudjemaa",Stagnant
2844,Add DID related methods to the JSON-RPC,Joel Thorstensson,Stagnant
4626,Tokenized Vaults,"Joey Santoro, t11s, Jet Jadeja, Alberto Cuesta Cañada, Señor Doggo",Final
1948,Non-fungible Data Token,"Johann Barbie, Ben Bollen, pinkiebell",Stagnant
2242,Transaction Postdata,John Adler,Stagnant
4931,Generic Token Upgrade Standard,"John Peterson, Roberto Bayardo, David Núñez",Stagnant
1450,ERC-1450 A compatible security token for issuing and trading SEC-compliant securities,"John Shiple, Howard Marks, David Zhang",Stagnant
2876,Deposit contract and address standard,Jonathan Underwood,Stagnant
1109,PRECOMPILEDCALL opcode (Remove CALL costs for precompiled contracts),Jordi Baylina,Stagnant
820,Pseudo-introspection Registry Contract,"Jordi Baylina, Jacques Dafflon",Final
1820,Pseudo-introspection Registry Contract,"Jordi Baylina, Jacques Dafflon",Final
3000,Optimistic enactment governance standard,"Jorge Izquierdo, Fabien Marino",Stagnant
897,DelegateProxy,"Jorge Izquierdo, Manuel Araoz",Stagnant
4,EIP Classification,Joseph Chow,Final
2566,Human Readable Parameters for Contract Function Execution,Joseph Stockermans,Stagnant
4824,Common Interfaces for DAOs,"Joshua Tan, Isaac Patka, Ido Gershtein, Eyal Eithcowich, Michael Zargham, Sam Furter",Draft
4393,Micropayments for NFTs and Multi Tokens,Jules Lai,Draft
4885,Subscription NFTs and Multi Tokens,Jules Lai,Draft
5095,Principal Token,"Julian Traversa, Robert Robbins, Alberto Cuesta Cañada",Draft
1191,Add chain id to mixed-case checksum address encoding,Juliano Rizzo,Last Call
1996,Holdable Token,"Julio Faura, Fernando Paris, Daniel Lehrner",Stagnant
2018,Clearable Token,"Julio Faura, Fernando Paris, Daniel Lehrner",Stagnant
2020,E-Money Standard Token,"Julio Faura, Fernando Paris, Daniel Lehrner",Stagnant
3332,MEDGASPRICE Opcode,Justice Hudson,Withdrawn
4546,Wrapped Deposits,Justice Hudson,Stagnant
1504,Upgradable Smart Contract,"Kaidong Wu, Chuqiao Ren, Ruthia He, Yun Ma, Xuanzhe Liu",Stagnant
823,Token Exchange Standard,Kashish Khullar,Stagnant
2565,ModExp Gas Cost,"Kelly Olson, Sean Gulley, Simon Peffers, Justin Drake, Dankrad Feist",Final
1337,Subscriptions on the blockchain,"Kevin Owocki, Andrew Redden, Scott Burke, Kevin Seagraves, Luka Kacil, Stefan Simec, Piotr Kosinski, ankit raj, John Griffin, Nathan Creswell",Stagnant
