author_id,mod_name,Full_Name,GitHub_Username,URL,GitHub_Followers,gh_matched_names,EIP_Num1,EIP_Num2,Status,tw_matched_names,extra_in_twitter,extra_in_gh,co_matched_names,extra_in_co
126,seanpapanikolas,Sean Papanikolas,pizzarob,https://github.com/pizzarob,22,Sean Papanikolas,,,Correct,Sean Papanikolas,"","",Sean Papanikolas,""
127,martinlundfall,Martin Lundfall,MrChico,https://github.com/MrChico,264,Martin Lundfall,,,Correct,Martin Lundfall,"","","",""
128,dominicletz,Dominic Letz,dominicletz,https://github.com/dominicletz,68,Dominic Letz,,,Correct,Dominic Letz,"","",Dominic Letz,""
129,,Carl Beekhuizen,,,,,,,,Carl Beekhuizen,"","",Carl Beekhuizen,""
130,ericconner,Eric Conner,econoar,https://github.com/econoar,55,Eric Conner,,,Correct,Eric Conner,"","",Eric Conner,""
131,jameschoncholas,James Choncholas,james-choncholas,https://github.com/james-choncholas,4,James Choncholas,,,Correct,James Choncholas,"","","",""
132,ricardoguilhermeschmidt,Ricardo Guilherme Schmidt,3esmit,https://github.com/3esmit,265,Ricardo Guilherme Schmidt,,,Correct,Ricardo Guilherme Schmidt,"","","",""
133,edsonayllon,Edson Ayllon,edsonayllon,https://github.com/edsonayllon,63,Edson Ayllon,,,Correct,Edson Ayllon,"","",Edson Ayllon,""
134,kristijansedlak,Kristijan Sedlak,xpepermint,https://github.com/xpepermint,137,Kristijan Sedlak,,,Correct,Kristijan Sedlak,"","",Kristijan Sedlak,""
135,christophburgdorf,Christoph Burgdorf,cburgdorf,https://github.com/cburgdorf,422,Christoph Burgdorf,,,Correct,Christoph Burgdorf,"","",Christoph Burgdorf,""
136,barrywhitehat,Barry WhiteHat,barryWhiteHat,https://github.com/barryWhiteHat,440,Barry WhiteHat,,,Correct,Barry WhiteHat,"","","",""
137,filipstamcar,Filip Štamcar,filips123,https://github.com/filips123,51,Filip Štamcar,,,Correct,"","","","",""
138,hadriencroubois,Hadrien Croubois,amxx,https://github.com/amxx,506,Hadrien Croubois,,,Correct,Hadrien Croubois,"","","",""
139,kellyolson,Kelly Olson,ineffectualproperty,https://github.com/ineffectualproperty,7,Kelly Olson,,,Correct,Kelly Olson,"","","",""
140,josephstockermans,Joseph Stockermans,jstoxrocky,https://github.com/jstoxrocky,35,Joseph Stockermans,,,Correct,Joseph Stockermans,"","","",""
141,huazhang,Hua Zhang,dgczhh,https://github.com/dgczhh,1,Hua Zhang,,,Correct,Hua Zhang,"","",Hua Zhang,""
142,guillaumeballet,Guillaume Ballet,gballet,https://github.com/gballet,325,Guillaume Ballet,,,Correct,Guillaume Ballet,"","","",""
143,,Kohshi Shiba,,,,,,,,Kohshi Shiba,"","","",""
144,,Tom Brand,,,,,,,,Tom Brand,"","",Tom Brand,""
145,mattgarnett,Matt Garnett,lightclient,https://github.com/lightclient,497,Matt Garnett,,,Correct,Matt Garnett,"","",Matt Garnett,""
146,aaronkendall,Aaron Kendall,jaerith,https://github.com/jaerith,19,Aaron Kendall,,,Correct,Aaron Kendall,"","","",""
147,sohamzemse,Soham Zemse,zemse,https://github.com/zemse,210,Soham Zemse,,,Correct,Soham Zemse,"","",Soham Zemse,""
148,joelthorstensson,Joel Thorstensson,oed,https://github.com/oed,210,Joel Thorstensson,,,Correct,Joel Thorstensson,"","",Joel Thorstensson,""
149,giuseppebertone,Giuseppe Bertone,Neurone,https://github.com/Neurone,65,Giuseppe Bertone,,,Correct,Giuseppe Bertone,"","",Giuseppe Bertone,""
150,jonathanunderwood,Jonathan Underwood,junderw,https://github.com/junderw,287,Jonathan Underwood,,,Correct,Jonathan Underwood,"","",Jonathan Underwood,""
151,,Tony Carson,,,,,,,,Tony Carson,"","","",""
152,sinamahmoodi,Sina Mahmoodi,s1na,https://github.com/s1na,147,Sina Mahmoodi,,,Correct,Sina Mahmoodi,"","",Sina Mahmoodi,""
153,williammorriss,William Morriss,wjmelements,https://github.com/wjmelements,93,William Morriss,,,Correct,William Morriss,"","",William Morriss,""
154,nickgheorghita,Nick Gheorghita,njgheorghita,https://github.com/njgheorghita,50,Nick Gheorghita,,,Correct,Nick Gheorghita,"","",Nick Gheorghita,""
155,gianlucaperletti,Gianluca Perletti,Perlets9,https://github.com/Perlets9,n/a,Gianluca Perletti,,,Correct,Gianluca Perletti,"","",Gianluca Perletti,""
156,zachburks,Zach Burks,vexycats,https://github.com/vexycats,31,Zach Burks,,,Correct,Zach Burks,"","","",""
